Реклама,Результат,Охват,Частота,Цена за результат
Видео 3 с озвучкой,0,348,1.221264,"2,76"
Видео 2 без звучки,1,461,1.412148,"4,56"
Макет статика 1,8,5475,1.778082,"41,87"
Макет статика 1,17,10731,2.129811,"86,86"
Макет статика 2,0,447,1.375839,"3,05"
Видео 1 без звучки,43,14177,2.114199,"145,35"
Видео 3 с озвучкой,29,12275,1.822159,"121,56"
Видео 1 без звучки,2,1931,1.607457,"15,87"
Макет статика 2,0,861,1.516841,"5,48"
Видео 2 без озвучки,0,40,1.025,"0,33"
Видео 1 без звучки,5,2036,1.60609,"16,98"
Видео 3 с озвучкой,0,411,1.537713,"3,69"
Видео без озвучки 1,11,2665,3.793621,"56,41"
Видео без озвучки 2,0,352,1.252841,"3,76"

# Last updated: 2024-08-09T13:54:40.813425
